Latitude,Longitude,Income Level,Are gut feelings your go-to when making a big decision,Count
8.780704,167.737417,"$10,000 - $19,999",Openness to Revised Impressions,1
19.20252,-155.48206,"Less than $10,000",Openness to Revised Impressions,1
19.390023,-155.152268,"Less than $10,000",Openness to Revised Impressions,1
19.53119,-155.90152,"$10,000 - $19,999",Openness to Revised Impressions,1
19.53119,-155.90152,"$10,000 - $19,999",Reliance on First Impressions,1
19.593456,-155.438015,"Less than $10,000",Openness to Revised Impressions,1
19.593456,-155.438015,"Less than $10,000",Reliance on First Impressions,1
19.593456,-155.438015,Prefer not to say,Reliance on First Impressions,1
19.819475,-155.106308,"Less than $10,000",Reliance on First Impressions,1
19.862157,-155.698847,"$10,000 - $19,999",Reliance on First Impressions,1
19.87266,-155.115,"$80,000 - $99,999",Openness to Revised Impressions,1
20.01506,-155.280974,"$20,000 - $29,999",Openness to Revised Impressions,1
20.01506,-155.280974,"$20,000 - $29,999",Reliance on First Impressions,1
20.76591,-156.44923,"$10,000 - $19,999",Reliance on First Impressions,1
20.849675,-156.165622,"$10,000 - $19,999",Reliance on First Impressions,1
20.855864,-156.325923,"Less than $10,000",Reliance on First Impressions,1
20.904275,-156.373506,"Less than $10,000",Openness to Revised Impressions,1
21.291518,-157.826869,"$10,000 - $19,999",Openness to Revised Impressions,1
21.313269,-157.861917,"$10,000 - $19,999",Openness to Revised Impressions,1
21.313269,-157.861917,"$10,000 - $19,999",Reliance on First Impressions,2
21.313269,-157.861917,"$20,000 - $29,999",Openness to Revised Impressions,1
21.313269,-157.861917,"$20,000 - $29,999",Reliance on First Impressions,1
21.313269,-157.861917,"Less than $10,000",Openness to Revised Impressions,2
21.313269,-157.861917,Prefer not to say,Openness to Revised Impressions,1
21.316548,-157.845053,"$20,000 - $29,999",Reliance on First Impressions,1
21.344247,-157.939889,"Less than $10,000",Reliance on First Impressions,1
21.34455,-158.01395,"$10,000 - $19,999",Reliance on First Impressions,1
21.34546,-157.72199,"$10,000 - $19,999",Openness to Revised Impressions,1
21.347927,-157.876274,"$100,000 - $119,999",Openness to Revised Impressions,1
21.399548,-158.015151,"Less than $10,000",Openness to Revised Impressions,1
21.40094,-157.96653,"Less than $10,000",Reliance on First Impressions,1
21.40877,-157.7899,Prefer not to say,Reliance on First Impressions,1
21.437389,-158.181356,"$10,000 - $19,999",Reliance on First Impressions,1
21.437389,-158.181356,"$30,000 - $39,999",Reliance on First Impressions,1
21.448453,-157.762325,"$30,000 - $39,999",Reliance on First Impressions,1
21.45,-158.001111,"Less than $10,000",Openness to Revised Impressions,1
21.48676,-158.051525,"$20,000 - $29,999",Reliance on First Impressions,1
21.5324,-158.047735,"Less than $10,000",Reliance on First Impressions,1
21.575719,-158.124847,Prefer not to say,Openness to Revised Impressions,1
21.68152,-157.94072,"$20,000 - $29,999",Openness to Revised Impressions,1
21.894997,-160.151914,"$10,000 - $19,999",Reliance on First Impressions,1
21.894997,-160.151914,Prefer not to say,Openness to Revised Impressions,1
21.92161,-159.62767,Prefer not to say,Reliance on First Impressions,1
21.925909,-159.530254,"$10,000 - $19,999",Openness to Revised Impressions,1
21.971285,-159.713792,"Less than $10,000",Openness to Revised Impressions,1
21.979991,-159.512392,"Less than $10,000",Reliance on First Impressions,1
22.20791,-159.50072,"$30,000 - $39,999",Openness to Revised Impressions,1
24.723283,-81.063249,"$10,000 - $19,999",Openness to Revised Impressions,1
24.72339,-81.020281,"Less than $10,000",Openness to Revised Impressions,1
25.02947,-80.50319,"$10,000 - $19,999",Reliance on First Impressions,1
25.02947,-80.50319,"$20,000 - $29,999",Reliance on First Impressions,1
25.02947,-80.50319,"$80,000 - $99,999",Openness to Revised Impressions,1
25.453604,-80.439114,"$10,000 - $19,999",Openness to Revised Impressions,1
25.468722,-80.477557,"$10,000 - $19,999",Openness to Revised Impressions,1
25.468722,-80.477557,"Less than $10,000",Openness to Revised Impressions,1
25.501679,-80.398423,"$10,000 - $19,999",Reliance on First Impressions,1
25.501679,-80.398423,"Less than $10,000",Openness to Revised Impressions,2
25.526889,-80.499812,"$30,000 - $39,999",Openness to Revised Impressions,1
25.526889,-80.499812,"Less than $10,000",Reliance on First Impressions,1
25.526889,-80.499812,Prefer not to say,Reliance on First Impressions,1
25.554185,-80.348539,"$20,000 - $29,999",Reliance on First Impressions,1
25.558428,-80.458168,"$10,000 - $19,999",Openness to Revised Impressions,1
25.558428,-80.458168,"$10,000 - $19,999",Reliance on First Impressions,1
25.558428,-80.458168,"$20,000 - $29,999",Openness to Revised Impressions,2
25.558428,-80.458168,"$30,000 - $39,999",Openness to Revised Impressions,1
25.558428,-80.458168,"$30,000 - $39,999",Reliance on First Impressions,1
25.558428,-80.458168,"Less than $10,000",Openness to Revised Impressions,1
25.558428,-80.458168,"Less than $10,000",Reliance on First Impressions,2
25.596814,-80.404463,"$10,000 - $19,999",Openness to Revised Impressions,2
25.637119,-80.307203,"$20,000 - $29,999",Reliance on First Impressions,1
