Year,Month,Are gut feelings your go-to when making a big decision,Count
2023,December,Openness to Revised Impressions,642
2023,December,Reliance on First Impressions,618
2023,November,Openness to Revised Impressions,604
2023,November,Reliance on First Impressions,620
2023,October,Openness to Revised Impressions,659
2023,October,Reliance on First Impressions,627
2023,September,Openness to Revised Impressions,263
2023,September,Reliance on First Impressions,283
2024,April,Openness to Revised Impressions,601
2024,April,Reliance on First Impressions,618
2024,August,Openness to Revised Impressions,659
2024,August,Reliance on First Impressions,676
2024,February,Openness to Revised Impressions,581
2024,February,Reliance on First Impressions,638
2024,January,Openness to Revised Impressions,638
2024,January,Reliance on First Impressions,619
2024,July,Openness to Revised Impressions,644
2024,July,Reliance on First Impressions,585
2024,June,Openness to Revised Impressions,623
2024,June,Reliance on First Impressions,606
2024,March,Openness to Revised Impressions,682
2024,March,Reliance on First Impressions,580
2024,May,Openness to Revised Impressions,641
2024,May,Reliance on First Impressions,629
2024,September,Openness to Revised Impressions,335
2024,September,Reliance on First Impressions,329
